BFS,,Regression:,,
N,Time,Linear,Logarithmic,Power
1,7.72E-06,-48.0790865770476,-45.6234686657312,2.64339719442341E-07
2,1.32E-05,-11.9668294759619,9.89257690519629,0.000142743389548
3,0.00011971,24.1454276251238,42.3673817525157,0.005661138590297
4,0.00919643,60.2576847262095,65.4086224761237,0.077081398522988
5,1.04,96.3699418272953,83.2807972624524,0.584229988464453
6,252.16,132.482198928381,97.8834273234431,3.05701357627017
,R^2:,0.4314120855324,0.266232455247826,0.762785600571372
,Slope,36.1122571010857,80.0927236349427,9.07681500124457
,Intercept,-84.1913436781333,-45.6234686657312,2.64339719442341E-07
,,,,
,,,,
,,,,
,,,,
,,,,
BFS Fast,,Regression:,,
N,Time,Linear,Logarithmic,Power
1,5.67E-06,-5.87846305609524,-5.57833824987148,2.75872221714408E-07
2,1.02E-05,-1.46301028832381,1.20969797712651,6.25873785428074E-05
3,4.57E-05,2.95244247944762,5.18044462345706,0.001494613887499
4,0.000951611,7.36789524721905,7.9977342041245,0.014199254743799
5,0.13,11.7833480149905,10.1829937747084,0.081406096114999
6,30.83,16.1988007827619,11.968480850455,0.339084394111461
,R^2:,0.43147324307326,0.266276350051481,0.719366548469312
,Slope,4.41545276777143,9.79306620206463,7.82572774507011
,Intercept,-10.2939158238667,-5.57833824987148,2.75872221714408E-07
